Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS0101002 Login Saucedemo DD,Chrome 126.0.0.0,,,21-07-2024 17:42:43,21-07-2024 17:43:20,"37,149s",PASSED
,,,,,,,
Test Cases/F02 Specify Test Case/F0201 Data Driven/TC0201001 Login Saucedemo DD Excel,Chrome 126.0.0.0,,,21-07-2024 17:42:43,21-07-2024 17:42:52,"9,121s",PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,21-07-2024 17:42:44,21-07-2024 17:42:46,"2,611s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,21-07-2024 17:42:46,21-07-2024 17:42:46,"0,096s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,21-07-2024 17:42:46,21-07-2024 17:42:47,"0,822s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 126.0.0.0,,,21-07-2024 17:42:47,21-07-2024 17:42:50,"3,012s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 126.0.0.0,,,21-07-2024 17:42:50,21-07-2024 17:42:51,"0,746s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,21-07-2024 17:42:51,21-07-2024 17:42:51,"0,455s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu""))",Chrome 126.0.0.0,,,21-07-2024 17:42:51,21-07-2024 17:42:52,"0,463s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout""))",Chrome 126.0.0.0,,,21-07-2024 17:42:52,21-07-2024 17:42:52,"0,404s",PASSED
,,,,,,,
Test Cases/F02 Specify Test Case/F0201 Data Driven/TC0201001 Login Saucedemo DD Excel,Chrome 126.0.0.0,,,21-07-2024 17:42:52,21-07-2024 17:43:00,"7,222s",PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,21-07-2024 17:42:52,21-07-2024 17:42:54,"1,349s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,21-07-2024 17:42:54,21-07-2024 17:42:54,"0,052s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,21-07-2024 17:42:54,21-07-2024 17:42:55,"0,832s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 126.0.0.0,,,21-07-2024 17:42:55,21-07-2024 17:42:58,"2,975s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 126.0.0.0,,,21-07-2024 17:42:58,21-07-2024 17:42:58,"0,717s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,21-07-2024 17:42:58,21-07-2024 17:42:59,"0,424s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu""))",Chrome 126.0.0.0,,,21-07-2024 17:42:59,21-07-2024 17:42:59,"0,446s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout""))",Chrome 126.0.0.0,,,21-07-2024 17:42:59,21-07-2024 17:43:00,"0,378s",PASSED
,,,,,,,
Test Cases/F02 Specify Test Case/F0201 Data Driven/TC0201001 Login Saucedemo DD Excel,Chrome 126.0.0.0,,,21-07-2024 17:43:00,21-07-2024 17:43:12,"12,167s",PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,21-07-2024 17:43:00,21-07-2024 17:43:01,"1,252s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,21-07-2024 17:43:01,21-07-2024 17:43:01,"0,054s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,21-07-2024 17:43:01,21-07-2024 17:43:02,"0,792s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 126.0.0.0,,,21-07-2024 17:43:02,21-07-2024 17:43:05,"3,045s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 126.0.0.0,,,21-07-2024 17:43:05,21-07-2024 17:43:05,"0,736s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,21-07-2024 17:43:05,21-07-2024 17:43:11,"5,436s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu""))",Chrome 126.0.0.0,,,21-07-2024 17:43:11,21-07-2024 17:43:11,"0,446s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout""))",Chrome 126.0.0.0,,,21-07-2024 17:43:11,21-07-2024 17:43:12,"0,373s",PASSED
,,,,,,,
Test Cases/F02 Specify Test Case/F0201 Data Driven/TC0201001 Login Saucedemo DD Excel,Chrome 126.0.0.0,,,21-07-2024 17:43:12,21-07-2024 17:43:20,"8,187s",PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,21-07-2024 17:43:12,21-07-2024 17:43:14,"1,948s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,21-07-2024 17:43:14,21-07-2024 17:43:14,"0,054s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,21-07-2024 17:43:14,21-07-2024 17:43:15,"0,791s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 126.0.0.0,,,21-07-2024 17:43:15,21-07-2024 17:43:18,"3,334s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 126.0.0.0,,,21-07-2024 17:43:18,21-07-2024 17:43:19,"0,749s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,21-07-2024 17:43:19,21-07-2024 17:43:19,"0,427s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu""))",Chrome 126.0.0.0,,,21-07-2024 17:43:19,21-07-2024 17:43:20,"0,472s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout""))",Chrome 126.0.0.0,,,21-07-2024 17:43:20,21-07-2024 17:43:20,"0,382s",PASSED
